scen,from,to,lid,year,level,marginal,bus,latitude_i,longitude_i,area_i,baskv_i,bus_name_i,ord_i,isbb_i,isei_i,islf_i,ispoi_i,iso_i,latitude_j,longitude_j,area_j,baskv_j,bus_name_j,ord_j,isbb_j,isei_j,islf_j,ispoi_j,iso_j,order_from,order_to,islf,isrc,isosg
1,107020,137717,102,2046,6.210227579797149,0.0,107020,43.633701967,-73.0576893529999,101,345.0,WEST RUTLAND,6,0,0.0,0,0,ISONE,42.59628,-73.76418,6,115.0,ALB2,6,0,0.0,0,0,NYISO,6,6,False,False,False
1,107020,137717,102,2051,158.84768456902594,0.0,107020,43.633701967,-73.0576893529999,101,345.0,WEST RUTLAND,6,0,0.0,0,0,ISONE,42.59628,-73.76418,6,115.0,ALB2,6,0,0.0,0,0,NYISO,6,6,False,False,False
1,107020,148964,103,2046,52.49950939595291,0.0,107020,43.633701967,-73.0576893529999,101,345.0,WEST RUTLAND,6,0,0.0,0,0,ISONE,42.828871062,-73.9972771209999,6,345.0,ROTTERDAM,6,0,0.0,0,0,NYISO,6,6,False,False,False
1,107020,148964,103,2051,545.280309699911,0.0,107020,43.633701967,-73.0576893529999,101,345.0,WEST RUTLAND,6,0,0.0,0,0,ISONE,42.828871062,-73.9972771209999,6,345.0,ROTTERDAM,6,0,0.0,0,0,NYISO,6,6,False,False,False
1,107030,147970,104,2051,185.89773149893,0.0,107030,44.1192301367207,-73.1653339326911,101,345.0,NEW HAVEN,6,0,0.0,0,0,ISONE,44.8907667350001,-73.9855907799999,4,230.0,RYAN,6,0,0.0,0,0,NYISO,6,6,False,False,False
1,107030,147980,105,2051,202.96126488079057,0.0,107030,44.1192301367207,-73.1653339326911,101,345.0,NEW HAVEN,6,0,0.0,0,0,ISONE,44.83147344,-73.63657408,4,230.0,PATNODE,6,0,0.0,0,0,NYISO,6,6,False,False,False
1,107050,116009,106,2051,1775.5530315896553,0.0,107050,42.968149453,-72.6523113649999,101,345.0,NEWFANE,6,0,0.0,0,0,ISONE,42.611172898,-72.4684024839999,101,345.0,NORTHFLD MT,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110757,110759,107,2046,61.125110738055355,0.0,110757,42.445119596,-71.266347336,101,345.0,LEXINGTON,6,0,0.0,0,0,ISONE,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,6,6,False,False,False
1,110757,110759,107,2051,15.997580554108708,0.0,110757,42.445119596,-71.266347336,101,345.0,LEXINGTON,6,0,0.0,0,0,ISONE,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,6,6,False,False,False
1,110757,110772,108,2051,63.933457980698705,0.0,110757,42.445119596,-71.266347336,101,345.0,LEXINGTON,6,0,0.0,0,0,ISONE,42.139133502,-71.4483249589999,101,345.0,W MEDWAY B,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110757,110866,110,2051,33.873568514940814,0.0,110757,42.445119596,-71.266347336,101,345.0,LEXINGTON,6,0,0.0,0,0,ISONE,42.136527931,-71.4475704229999,101,115.0,MEDWAY,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110757,111105,111,2051,9.84450978752291,0.0,110757,42.445119596,-71.266347336,101,345.0,LEXINGTON,6,0,0.0,0,0,ISONE,42.359939,-71.0854,101,115.0,E CAMBRIDGE,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110757,111809,112,2046,7.404376965773167,0.0,110757,42.445119596,-71.266347336,101,345.0,LEXINGTON,6,0,0.0,0,0,ISONE,42.3395896,-71.0387257,101,345.0,K STREET 3_R,6,0,0.0,0,1,ISONE,6,6,False,False,False
1,110757,113986,114,2051,0.15831641149679143,0.0,110757,42.445119596,-71.266347336,101,345.0,LEXINGTON,6,0,0.0,0,0,ISONE,42.568438524,-71.5303919819999,101,115.0,SANDY POND,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110759,110772,117,2051,79.7299875274204,0.0,110759,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,42.139133502,-71.4483249589999,101,345.0,W MEDWAY B,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110759,110780,118,2051,11.189102484579063,0.0,110759,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,42.131369744,-71.2683381829999,101,345.0,WEST WALPOLE,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110759,110866,120,2051,73.50216540918402,0.0,110759,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,42.136527931,-71.4475704229999,101,115.0,MEDWAY,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110759,111105,121,2051,381.3198565684115,0.0,110759,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,42.359939,-71.0854,101,115.0,E CAMBRIDGE,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110759,111809,122,2046,90.88257819161947,0.0,110759,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,42.3395896,-71.0387257,101,345.0,K STREET 3_R,6,0,0.0,0,1,ISONE,6,6,False,False,False
1,110759,113951,123,2036,12.230881842853139,0.0,110759,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,42.622784672,-71.2423157249999,101,345.0,TEWKSBURY,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110759,113951,123,2041,234.47587749552395,0.0,110759,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,42.622784672,-71.2423157249999,101,345.0,TEWKSBURY,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110759,113951,123,2046,184.3359121172141,0.0,110759,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,42.622784672,-71.2423157249999,101,345.0,TEWKSBURY,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110759,113986,125,2051,19.03024527093845,0.0,110759,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,42.568438524,-71.5303919819999,101,115.0,SANDY POND,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110759,114476,127,2036,15.415418468872131,0.0,110759,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,42.505261779,-71.0416548699999,101,345.0,WAKEFLD JCT,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110759,114476,127,2041,343.17960406048024,0.0,110759,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,42.505261779,-71.0416548699999,101,345.0,WAKEFLD JCT,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110759,114476,127,2046,629.90556426049,0.0,110759,42.3930301,-71.0680475,101,345.0,MYSTIC MA,6,0,0.0,0,1,ISONE,42.505261779,-71.0416548699999,101,345.0,WAKEFLD JCT,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110772,110773,128,2046,866.2730376540776,0.0,110772,42.139133502,-71.4483249589999,101,345.0,W MEDWAY B,6,0,0.0,0,0,ISONE,42.1093333420001,-71.4517722429999,101,345.0,NEA 336 TAP,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110772,110773,128,2051,1328.1944109904189,0.0,110772,42.139133502,-71.4483249589999,101,345.0,W MEDWAY B,6,0,0.0,0,0,ISONE,42.1093333420001,-71.4517722429999,101,345.0,NEA 336 TAP,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110772,110780,129,2041,335.1083711507904,0.0,110772,42.139133502,-71.4483249589999,101,345.0,W MEDWAY B,6,0,0.0,0,0,ISONE,42.131369744,-71.2683381829999,101,345.0,WEST WALPOLE,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110772,110780,129,2046,3621.573401031169,0.0,110772,42.139133502,-71.4483249589999,101,345.0,W MEDWAY B,6,0,0.0,0,0,ISONE,42.131369744,-71.2683381829999,101,345.0,WEST WALPOLE,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,110772,110780,129,2051,1353.0435041570645,0.0,110772,42.139133502,-71.4483249589999,101,345.0,W MEDWAY B,6,0,0.0,0,0,ISONE,42.131369744,-71.2683381829999,101,345.0,WEST WALPOLE,6,0,0.0,0,0,ISONE,6,6,False,False,False
